ID,NAME,longitude
72,W 52 St & 11 Ave,-73.99392888
79,Franklin St & W Broadway,-74.00666661
82,St James Pl & Pearl St,-74.00016545
83,Atlantic Ave & Fort Greene Pl,-73.97632328
116,W 17 St & 8 Ave,-74.00149746
119,Park Ave & St Edwards St,-73.97803415
120,Lexington Ave & Classon Ave,-73.95928168
127,Barrow St & Hudson St,-74.00674436
128,MacDougal St & Prince St,-74.00297088
143,Clinton St & Joralemon St,-73.99337909
144,Nassau St & Navy St,-73.98068914
146,Hudson St & Reade St,-74.0091059
150,E 2 St & Avenue C,-73.98085795
151,Cleveland Pl & Spring St,-73.99724900722504
157,Henry St & Atlantic Ave,-73.99612349
161,LaGuardia Pl & W 3 St,-73.99810231
164,E 47 St & 2 Ave,-73.97032517
167,E 39 St & 3 Ave,-73.97604882
168,W 18 St & 6 Ave,-73.99456405
173,Broadway & W 49 St,-73.9845272898674
174,E 25 St & 1 Ave,-73.97738662
195,Liberty St & Broadway,-74.01043382
212,W 16 St & The High Line,-74.00681753
216,Columbia Heights & Cranberry St,-73.99548059
217,Old Fulton St,-73.99383605
223,W 13 St & 7 Ave,-73.99994661
224,Spruce St & Nassau St,-74.00552427
228,E 48 St & 3 Ave,-73.971878855
229,Great Jones St,-73.99379025
236,St Marks Pl & 2 Ave,-73.98713956
237,E 11 St & 2 Ave,-73.98672378
238,Bank St & Washington St,-74.00859207
239,Willoughby St & Fleet St,-73.9813018
241,DeKalb Ave & S Portland Ave,-73.97493121
242,Carlton Ave & Flushing Ave,-73.973736
244,Willoughby Ave & Hall St,-73.96536851
245,Myrtle Ave & St Edwards St,-73.97703874
247,Perry St & Bleecker St,-74.00483091
248,Laight St & Hudson St,-74.00771779
249,Harrison St & Hudson St,-74.0090009
250,Lafayette St & Jersey St,-73.99565293
251,Mott St & Prince St,-73.99480012
252,MacDougal St & Washington Sq,-73.99852205
254,W 11 St & 6 Ave,-73.99800419
257,Lispenard St & Broadway,-74.00247214
258,DeKalb Ave & Vanderbilt Ave,-73.96885458
259,South St & Whitehall St,-74.01234218
260,Broad St & Bridge St,-74.01167797
261,Johnson St & Gold St,-73.98362464
262,Washington Park,-73.9737299
264,Maiden Ln & Pearl St,-74.00731853
265,Stanton St & Chrystie St,-73.99147535
267,Broadway & W 36 St,-73.98765428
268,Howard St & Centre St,-73.99973337
270,Adelphi St & Myrtle Ave,-73.97178913
274,Lafayette Ave & Fort Greene Pl,-73.976682
275,Washington Ave & Greene Ave,-73.96563307
276,Duane St & Greenwich St,-74.0104554
278,Concord St & Bridge St,-73.98476437
280,E 10 St & 5 Ave,-73.99510132
281,Grand Army Plaza & Central Park S,-73.97371465
282,Kent Ave & S 11 St,-73.96841526031494
284,Greenwich Ave & 8 Ave,-74.0026376103
285,Broadway & E 14 St,-73.99074142
289,Monroe St & Classon Ave,-73.95881081
291,Madison St & Montgomery St,-73.984844
293,Lafayette St & E 8 St,-73.99102628231049
295,Pike St & E Broadway,-73.99293911
297,E 15 St & 3 Ave,-73.986923
298,3 Ave & Schermerhorn St,-73.9796772
301,E 2 St & Avenue B,-73.98368779
302,Avenue D & E 3 St,-73.97793172
303,Mercer St & Spring St,-73.99949601
304,Broadway & Battery Pl,-74.01361706
305,E 58 St & 3 Ave,-73.96724467
307,Canal St & Rutgers St,-73.98990025
308,St James Pl & Oliver St,-73.99851193
309,Murray St & West St,-74.013012
310,State St & Smith St,-73.98912867
311,Norfolk St & Broome St,-73.98802084
312,Allen St & Stanton St,-73.989111
313,Washington Ave & Park Ave,-73.96751037
315,South St & Gouverneur Ln,-74.00670227
316,Fulton St & William St,-74.00653609
317,E 6 St & Avenue B,-73.98185424
319,Fulton St & Broadway,-74.009447
320,Leonard St & Church St,-74.005549
321,Cadman Plaza E & Red Cross Pl,-73.98971773
323,Lawrence St & Willoughby St,-73.98631746
324,DeKalb Ave & Hudson Ave,-73.981013
325,E 19 St & 3 Ave,-73.98473765
326,E 11 St & 1 Ave,-73.98426726
327,Vesey Pl & River Terrace,-74.01658354
328,Watts St & Greenwich St,-74.00965965
330,Reade St & Broadway,-74.00562789
331,Pike St & Monroe St,-73.99193043
